"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Rhodanobacteraceae_Rhodanobacter",485.623553576046,0.757881321151354,1.43303312643441,0.528865179158188,0.596898978794831,0.941773944320733
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_Luteimonas",35.97534976214,-0.0531518936774621,2.03600368771468,-0.026105990867395,0.979172798671264,0.994450533095528
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_Pseudoxanthomonas",59.2567166141994,-24.0458106931233,2.88057661696352,-8.34756852205187,6.96826045569208e-17,9.89492984708275e-15
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_Stenotrophomonas",108.426121730814,-0.0992351977319973,1.36713366344067,-0.0725863171873418,0.942135315298868,0.994450533095528
"Bacteria_Sumerlaeota_Sumerlaeia_Sumerlaeales_Sumerlaeaceae_Sumerlaea",3.02021078642438,-5.3670809903294,3.39794300543546,-1.57950883276854,0.114219392139247,0.639746596158757
"Bacteria_Verrucomicrobiota_Verrucomicrobiae_Opitutales_Opitutaceae_",6.27274547949679,-6.41885248713458,3.39041236836501,-1.89323651217978,NA,NA
"Bacteria_Actinobacteriota_Acidimicrobiia_Microtrichales_",6.25637614687886,5.920086871698,2.82193109200893,2.09788498679587,0.0359153065484332,0.628544520917477
"Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycobacterium",30.797573181902,0.502960728686759,2.00277939777434,0.251131367361623,0.80171254516787,0.976590442099435
"Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Microbacteriaceae_Homoserinibacter",1.9628738936472,4.24888347759322,3.39917565616382,1.24997467250291,0.211308799568527,0.639746596158757
"Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Microbacteriaceae_Microbacterium",17.4538899941441,-0.289280806219455,2.31661994493286,-0.12487193113061,0.900624940121107,0.98375954997844
"Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Micrococcales Incertae Sedis_Luteimicrobium",2.00607540850028,4.27123312125505,3.39893337535019,1.25663925990164,0.208884291673354,0.639746596158757
"Bacteria_Actinobacteriota_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces",7.92182687965214,-2.10271444049529,2.93788147062096,-0.715724736182381,0.474161333736938,0.859461109241689
"Bacteria_Actinobacteriota_Thermoleophilia_Solirubrobacterales_67-14_",15.1648834528529,7.19539510571825,2.63942630726116,2.72612085661321,0.00640835289863154,0.30332870386856
"Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Chitinophagaceae_",99.8884535672661,2.15764531963692,2.28006165336749,0.946310077383316,0.343990454902195,0.766160649649634
"Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Chitinophagaceae_Edaphobaculum",19.3780435458399,1.83192347136548,2.51752884992788,0.727667320045988,0.466817259880949,0.859461109241689
"Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Chitinophagaceae_Parafilimonas",0,NA,NA,NA,NA,NA
"Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Chitinophagaceae_Taibaiella",224.626363188047,2.56221860502358,2.09592959063016,1.22247360621176,0.22152857907186,0.639746596158757
"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_NS9 marine group_",2.45047669166487,-5.06776307146192,3.40128972632551,-1.48995336452468,0.13623649854492,0.639746596158757
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Lysinibacillus",0,NA,NA,NA,NA,NA
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Carnobacteriaceae_Alloiococcus",0,NA,NA,NA,NA,NA
"Bacteria_Gemmatimonadota_Gemmatimonadetes_Gemmatimonadales_Gemmatimonadaceae_",1.11385304166585,-3.93865090674929,3.4223897834934,-1.15084813709586,0.24979471724111,0.644924542695231
"Bacteria_Planctomycetota_Planctomycetes_Isosphaerales_Isosphaeraceae_Singulisphaera",20.2004616719907,2.26938795736652,2.49372511757231,0.91003933888905,0.362801763765674,0.769724014779931
"Bacteria_Planctomycetota_Planctomycetes_Planctomycetales_",19.6425784094498,1.22702485128053,2.8456898280238,0.4311871375429,0.66633230562582,0.955749367665317
"Bacteria_Proteobacteria_Alphaproteobacteria_Acetobacterales_Acetobacteraceae_Acidisphaera",0,NA,NA,NA,NA,NA
"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Asticcacaulis",106.224032902511,0.113694919742835,2.04143761335767,0.0556935558544128,0.955585933219555,0.994450533095528
"Bacteria_Proteobacteria_Alphaproteobacteria_Parvibaculales_Parvibaculaceae_Parvibaculum",3.82846172434898,5.21274541897762,3.39148455566233,1.53700992395043,0.124290879186689,0.639746596158757
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Devosiaceae_",2.66431890191444,4.69231610972473,3.39500202672756,1.38212468587174,NA,NA
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Mesorhizobium",18.3958312403314,3.10725467948624,2.46101111373381,1.2625927051471,0.206735590859611,0.639746596158757
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Pseudaminobacter",25.754058020779,2.31551179185787,1.97127603106236,1.17462585420368,0.240144434991166,0.639746596158757
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiales Incertae Sedis_Nordella",3.9257477872944,5.24776700311948,3.39129021826257,1.54742492248511,NA,NA
