tax_id	abundance	lineage	estimated counts
14	8.546805631395266e-05	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;coli;	36.00931601813822
4349	6.647515491085207e-05	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;	28.007245791885282
161	2.943729077262479e-05	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;massiliae;	12.402489911031504
6616	4.274477296086471e-05	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Rudaibacter;terrae;	18.009184999098558
289	4.273402815697633e-05	Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;	18.00465800906911
6329	0.00013532437647360428	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;	57.01473097148248
4964	0.00011158329574321597	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;	47.01216257923601
1621	5.223047885852662e-05	Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;	22.005693122195577
2451	7.35974929370148e-05	Bacteria;Patescibacteria;Gracilibacteria;Candidatus Peregrinibacteria;	31.008022126730136
7638	0.00014007264784788158	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;	59.01526791862162
505	2.374112675387574e-05	Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Lechevalieria;	10.002587782816173
11684	4.035992157348434e-05	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;	17.004401797418847
285	4.7482253640251885e-05	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;	20.005175621457283
63	7.35974929370148e-05	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas;	31.008022126730136
2999	3.0863464647537886e-05	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola;	13.003364061836015
8299	6.172692956007693e-05	Bacteria;Sumerlaeota;Sumerlaeia;Sumerlaeales;Sumerlaeaceae;Sumerlaea;	26.00672823532205
772	3.323757745542603e-05	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;yanoikuyae;	14.003622895942641
7648	3.0863464780038464e-05	Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;Aquicella;	13.003364117661025
unassigned	0.0		1271.0
